time,CO,SO2,SO4,PM2.5,NO2
1/1/2020 0:00,0.000623005,1.15E-12,6.78E-06,5.31E-08,254.905548
2/1/2020 0:00,0.000609853,1.12E-12,8.16E-06,6.37E-08,260.528412
3/1/2020 0:00,0.000599057,1.06E-12,8.31E-06,7.49E-08,271.085266
4/1/2020 0:00,0.00061523,1.11E-12,8.81E-06,6.03E-08,280.693176
5/1/2020 0:00,0.000574286,2.03E-12,8.97E-06,7.38E-08,303.963165
6/1/2020 0:00,0.000553649,2.04E-12,8.60E-06,7.30E-08,326.76535
7/1/2020 0:00,0.000552228,1.30E-12,1.30E-05,6.86E-08,336.481567
8/1/2020 0:00,0.000581964,1.90E-12,8.94E-06,6.89E-08,337.005585
9/1/2020 0:00,0.000586764,1.23E-12,1.62E-05,5.61E-08,321.504211
10/1/2020 0:00,0.000556836,1.17E-12,1.03E-05,4.70E-08,302.744232
11/1/2020 0:00,0.000578771,8.46E-13,1.19E-05,6.71E-08,272.333893
12/1/2020 0:00,0.000607287,8.31E-13,7.92E-06,4.79E-08,261.035461
1/1/2021 0:00,0.000617163,9.28E-13,6.51E-06,5.22E-08,259.125946
2/1/2021 0:00,0.00060483,9.20E-13,7.10E-06,5.00E-08,264.904602
3/1/2021 0:00,0.000608293,9.31E-13,6.50E-06,7.80E-08,273.923828
4/1/2021 0:00,0.000590898,9.39E-13,8.55E-06,6.90E-08,290.961243
5/1/2021 0:00,0.000575311,1.48E-12,9.65E-06,6.71E-08,309.854034
6/1/2021 0:00,0.000533271,1.45E-12,9.03E-06,8.46E-08,333.013123
7/1/2021 0:00,0.00055522,1.14E-12,1.12E-05,7.97E-08,342.822723
8/1/2021 0:00,0.000610044,1.10E-12,1.34E-05,5.89E-08,335.179352
9/1/2021 0:00,0.000599444,1.55E-12,1.03E-05,5.84E-08,323.82251
10/1/2021 0:00,0.000580835,1.04E-12,1.27E-05,5.91E-08,295.934906
11/1/2021 0:00,0.000593006,1.04E-12,9.21E-06,5.23E-08,274.738983
12/1/2021 0:00,0.000633258,9.11E-13,6.61E-06,6.26E-08,262.622131
1/1/2022 0:00,0.000666551,9.55E-13,6.25E-06,5.36E-08,255.42688
2/1/2022 0:00,0.000651538,1.13E-12,7.25E-06,6.43E-08,265.88031
3/1/2022 0:00,0.000661245,1.65E-12,7.11E-06,7.13E-08,268.105957
4/1/2022 0:00,0.000594395,1.23E-12,9.98E-06,7.98E-08,288.389709
5/1/2022 0:00,0.000596872,9.17E-13,9.22E-06,7.97E-08,304.63739
6/1/2022 0:00,0.000549541,1.58E-12,1.06E-05,7.21E-08,330.156342
7/1/2022 0:00,0.000531809,1.53E-12,9.61E-06,8.38E-08,338.468506
8/1/2022 0:00,0.000537478,1.43E-12,1.44E-05,8.41E-08,329.852051
9/1/2022 0:00,0.000546147,1.49E-12,1.37E-05,6.04E-08,324.569611
10/1/2022 0:00,0.000524281,7.92E-13,1.62E-05,6.24E-08,299.344971
11/1/2022 0:00,0.000549182,9.79E-13,1.11E-05,4.56E-08,275.100922
12/1/2022 0:00,0.000596219,9.66E-13,1.05E-05,4.69E-08,261.603149
1/1/2023 0:00,0.000624735,7.11E-13,9.11E-06,4.48E-08,257.976929
2/1/2023 0:00,0.000677377,8.75E-13,7.22E-06,3.70E-08,258.925171
3/1/2023 0:00,0.000635877,9.42E-13,7.93E-06,5.90E-08,272.196686
4/1/2023 0:00,0.000626832,1.00E-12,7.20E-06,4.84E-08,282.796661
5/1/2023 0:00,0.00061782,1.23E-12,8.76E-06,7.77E-08,296.683319
6/1/2023 0:00,0.000598922,1.48E-12,8.06E-06,7.78E-08,322.785614
7/1/2023 0:00,0.000584167,1.36E-12,9.01E-06,7.45E-08,344.753021
8/1/2023 0:00,0.000585706,1.42E-12,1.32E-05,6.75E-08,335.57608
9/1/2023 0:00,0.000572224,1.44E-12,1.21E-05,5.78E-08,323.148041
10/1/2023 0:00,0.000563719,1.12E-12,1.32E-05,5.12E-08,290.516266
11/1/2023 0:00,0.000598211,1.09E-12,9.92E-06,5.06E-08,275.866821
12/1/2023 0:00,0.000630207,9.33E-13,7.61E-06,4.59E-08,267.00827
1/1/2024 0:00,0.000671511,8.91E-13,5.92E-06,4.15E-08,260.765137
2/1/2024 0:00,0.00068659,8.18E-13,7.27E-06,4.40E-08,261.84848
3/1/2024 0:00,0.00067436,9.25E-13,7.08E-06,4.92E-08,270.027039
4/1/2024 0:00,0.000640474,1.11E-12,8.92E-06,5.18E-08,289.895538
5/1/2024 0:00,0.00061883,2.18E-12,8.22E-06,6.26E-08,297.753265
6/1/2024 0:00,0.000583337,2.15E-12,8.67E-06,6.75E-08,332.213806
7/1/2024 0:00,0.000583103,1.60E-12,8.96E-06,9.14E-08,341.84491
8/1/2024 0:00,0.000608886,1.42E-12,1.11E-05,7.34E-08,332.363159
9/1/2024 0:00,0.000604479,1.45E-12,8.74E-06,5.96E-08,318.988525
10/1/2024 0:00,0.000623012,1.86E-12,1.01E-05,5.37E-08,296.346497
11/1/2024 0:00,0.000629769,1.17E-12,1.03E-05,4.31E-08,272.630859
12/1/2024 0:00,0.000662022,1.18E-12,6.78E-06,5.27E-08,261.818573
1/1/2025 0:00,0.000671617,1.26E-12,7.13E-06,4.33E-08,258.962128
