,NO2 AQI (True),NO2 AQI (Pred),CO AQI (True),CO AQI (Pred),Composite (True),Composite (Pred)
0,136.73699367567568,134.82491325838464,500.0,500.0,500.0,500.0
1,138.22359067567567,138.76517362461192,500.0,500.0,500.0,500.0
2,144.74315248648648,142.64334187238322,500.0,500.0,500.0,500.0
3,146.56525324324326,144.7477545569866,500.0,500.0,500.0,500.0
4,144.77140845945945,145.06786356640043,500.0,500.0,500.0,500.0
5,142.2410722972973,142.9810881437385,500.0,500.0,500.0,500.0
6,137.9574453783784,138.7586113230497,500.0,500.0,500.0,500.0
7,133.47070305405407,134.53209955316046,500.0,500.0,500.0,500.0
8,131.42513543243243,131.10722669308714,500.0,500.0,500.0,500.0
9,130.88472691891891,130.5963009656234,500.0,500.0,500.0,500.0
