,CO,SO2,SO4,PM2.5,NO2
2025-02-01,0.0006579313807084561,9.656618853211403e-13,6.869093514084816e-06,5.5339438056945804e-08,260.7920160154407
2025-03-01,0.0006239032150242329,1.0862578163146973e-12,7.519556781053543e-06,6.488829040527343e-08,272.2028248540478
2025-04-01,0.0005796630791313947,1.2096150587499141e-12,8.637205474376678e-06,7.368800373077393e-08,297.73563291020895
2025-05-01,0.0005503588286456616,1.2450682697892188e-12,9.853093477487565e-06,7.78742660522461e-08,322.2173242159465
2025-06-01,0.0005337743470998929,1.2668456495404243e-12,1.1482512547969818e-05,7.625577259063721e-08,337.0197739232074
2025-07-01,0.000524149446703516,1.211001777946949e-12,1.3675547711849213e-05,6.750671348571777e-08,342.0814466504059
2025-08-01,0.000504868379555285,9.789315731525422e-13,1.5653784682750703e-05,5.6187270450592046e-08,327.87724049015725
2025-09-01,0.0004954665677191764,7.752255220115186e-13,1.556111452817917e-05,4.8699333477020264e-08,309.4208245905754
2025-10-01,0.0005075562969219685,6.384008939638734e-13,1.3584902036190033e-05,4.607328000068665e-08,287.9040402997622
2025-11-01,0.0005408240861245991,5.534779476597905e-13,1.0863719294071197e-05,4.362398493289948e-08,260.7037401487496
2025-12-01,0.0005806355226469041,4.3068672087788586e-13,8.423579751253127e-06,3.8260757857561116e-08,251.91956777446342
2026-01-01,0.0006103521213988662,4.3399387651681904e-13,6.78523174226284e-06,3.4703041696548465e-08,251.73060172434666
